Date,ACWI,BTC-USD,GLD,JPY=X,LQD,TLT,wage_JP_5,wage_JP_30,wage_us
2018-01-01,66.21443939208984,10221.099609375,127.6500015258789,108.73200225830078,90.90807342529297,98.74331665039062,98.2,98.5,8759.1
2018-02-01,63.251304626464844,10397.900390625,125.0,107.4260025024414,88.6366958618164,95.54120635986328,98.4,98.6,8778.4
2018-03-01,62.30413055419922,6973.52978515625,125.79000091552734,106.2699966430664,89.11726379394531,98.27974700927734,98.3,98.8,8811.8
2018-04-01,62.55612564086914,9240.5498046875,124.58999633789062,109.0979995727539,87.71712493896484,96.2159423828125,98.4,99.0,8836.5
2018-05-01,62.851593017578125,7494.169921875,123.0999984741211,108.71199798583984,88.17581939697266,98.13793182373047,98.6,99.1,8882.0
2018-06-01,61.80014419555664,6404.0,118.6500015258789,110.48600006103516,87.72389221191406,98.75996398925781,98.6,99.1,8933.7
2018-07-01,64.39899444580078,7780.43994140625,115.98999786376953,110.99400329589844,88.91142272949219,97.34663391113281,98.6,99.2,8982.0
2018-08-01,64.84703826904297,7037.580078125,113.51000213623047,110.9990005493164,88.93341827392578,98.62673950195312,98.7,99.2,8991.4
2018-09-01,65.24240112304688,6625.56005859375,112.76000213623047,113.68299865722656,88.80365753173828,95.8000717163086,98.8,99.3,8990.9
2018-10-01,60.39270782470703,6317.60986328125,115.1500015258789,113.052001953125,86.97964477539062,92.99468994140625,98.8,99.3,9009.1
2018-11-01,61.35035705566406,4017.2685546875,115.54000091552734,113.41100311279297,86.64827728271484,94.6381607055664,98.8,99.4,9073.0
2018-12-01,56.36888122558594,3742.700439453125,121.25,110.33000183105469,87.99483489990234,99.95140075683594,99.1,99.5,9164.1
2019-01-01,61.50518798828125,3457.792724609375,124.75,108.98100280761719,91.53316497802734,100.80110931396484,99.5,99.7,9219.8
2019-02-01,63.02241134643555,3854.785400390625,123.98999786376953,110.86199951171875,91.07010650634766,99.1895751953125,99.5,99.8,9281.9
2019-03-01,64.01615142822266,4105.404296875,122.01000213623047,110.87000274658203,93.73200225830078,104.73145294189453,99.3,99.8,9274.2
2019-04-01,66.20770263671875,5350.7265625,121.19999694824219,111.677001953125,94.14847564697266,102.63678741455078,99.5,100.1,9261.0
2019-05-01,62.188377380371094,8574.501953125,123.33000183105469,109.35700225830078,95.70764923095703,109.6678237915039,99.6,100.1,9284.8
2019-06-01,65.4002685546875,10817.1552734375,133.1999969482422,107.74700164794922,98.80335998535156,110.71497344970703,99.6,100.0,9283.3
2019-07-01,66.26959991455078,10085.6279296875,133.2100067138672,108.56199645996094,99.07577514648438,111.00907135009766,99.8,100.0,9338.9
2019-08-01,64.80513000488281,9630.6640625,143.75,106.43800354003906,102.931640625,123.27099609375,99.8,100.0,9364.8
2019-09-01,66.26062774658203,8293.8681640625,138.8699951171875,107.94400024414062,102.16270446777344,119.99404907226562,100.0,100.0,9441.7
2019-10-01,68.07548522949219,9199.5849609375,142.42999267578125,108.78900146484375,102.62508392333984,118.66040802001953,100.1,100.0,9494.9
2019-11-01,69.66573333740234,7569.6298828125,137.86000061035156,109.44499969482422,103.10572814941406,118.17798614501953,100.2,100.1,9492.3
2019-12-01,71.20208740234375,7193.59912109375,142.89999389648438,108.87300109863281,103.37699890136719,114.21936798095703,100.3,100.1,9644.3
2020-01-01,71.02696228027344,9350.529296875,149.3300018310547,108.87699890136719,106.47245788574219,123.412841796875,100.5,100.1,9731.7
2020-02-01,65.70745086669922,8599.5087890625,148.3800048828125,108.13600158691406,107.3577880859375,131.3724365234375,100.6,100.3,9506.8
2020-03-01,56.89614486694336,6438.64453125,148.0500030517578,108.03500366210938,100.57449340820312,139.7754364013672,100.5,100.2,8706.4
2020-04-01,62.48846435546875,8658.5537109375,158.8000030517578,106.61000061035156,105.4619140625,141.48379516601562,100.2,100.3,9018.3
2020-05-01,65.67107391357422,9461.05859375,162.91000366210938,107.76000213623047,108.06001281738281,139.01145935058594,99.3,100.1,9269.8
2020-06-01,67.0350570678711,9137.9931640625,167.3699951171875,107.58999633789062,110.36334991455078,139.4810028076172,99.5,100.1,9345.4
2020-07-01,71.22437286376953,11323.466796875,185.42999267578125,104.68299865722656,113.80001068115234,145.68360900878906,99.7,100.0,9443.1
2020-08-01,75.51600646972656,11680.8203125,184.8300018310547,105.53500366210938,111.795654296875,138.33990478515625,99.8,100.0,9514.9
