path,wage level,1,2,3,4,5,6,7,8,9,10
12,wage5,1500.960937,1501.022436,0.898187835,1.03364802,1.059081534,0.996441817,1.008047765,1.044604056,1.025949707,0.992346578
12,wage6,2000.960937,2001.022436,0.898187835,1.03364802,1.059081534,0.996441817,1.008047765,1.044604056,1.025949707,0.992346578
12,wage7,5000.960937,5001.022436,0.898187835,1.03364802,1.059081534,0.996441817,1.008047765,1.044604056,1.025949707,0.992346578
12,wage8,10000.96094,10001.02244,10000.89819,10001.03365,10001.05908,10000.99644,10001.00805,10001.0446,10001.02595,10000.99235
13,wage1,151.0154502,150.9797288,151.0267516,1000.963443,1001.075983,1001.028489,1001.042652,1000.95021,1000.990267,1000.981779
13,wage2,301.0154502,300.9797288,301.0267516,0.963443288,1.075983372,1.02848922,1.042651959,0.950210414,0.990266944,0.981779484
13,wage3,701.0154502,700.9797288,701.0267516,0.963443288,1.075983372,1.02848922,1.042651959,0.950210414,0.990266944,0.981779484
13,wage4,1001.01545,1000.979729,1001.026752,0.963443288,1.075983372,1.02848922,1.042651959,0.950210414,0.990266944,0.981779484
13,wage5,1501.01545,1500.979729,1501.026752,0.963443288,1.075983372,1.02848922,1.042651959,0.950210414,0.990266944,0.981779484
13,wage6,2001.01545,2000.979729,2001.026752,0.963443288,1.075983372,1.02848922,1.042651959,0.950210414,0.990266944,0.981779484
13,wage7,5001.01545,5000.979729,5001.026752,0.963443288,1.075983372,1.02848922,1.042651959,0.950210414,0.990266944,0.981779484
13,wage8,10001.01545,10000.97973,10001.02675,10000.96344,10001.07598,10001.02849,10001.04265,10000.95021,10000.99027,10000.98178
14,wage1,150.9647282,1001.018212,1001.018344,1001.045939,1000.984419,1001.007344,1000.934788,1001.035082,1000.995673,1000.988081
14,wage2,300.9647282,1.018211567,1.018343557,1.045938956,0.98441884,1.007343794,0.934787543,1.035081537,0.995672942,0.98808138
14,wage3,700.9647282,1.018211567,1.018343557,1.045938956,0.98441884,1.007343794,0.934787543,1.035081537,0.995672942,0.98808138
14,wage4,1000.964728,1.018211567,1.018343557,1.045938956,0.98441884,1.007343794,0.934787543,1.035081537,0.995672942,0.98808138
14,wage5,1500.964728,1.018211567,1.018343557,1.045938956,0.98441884,1.007343794,0.934787543,1.035081537,0.995672942,0.98808138
14,wage6,2000.964728,1.018211567,1.018343557,1.045938956,0.98441884,1.007343794,0.934787543,1.035081537,0.995672942,0.98808138
14,wage7,5000.964728,1.018211567,1.018343557,1.045938956,0.98441884,1.007343794,0.934787543,1.035081537,0.995672942,0.98808138
14,wage8,10000.96473,10001.01821,10001.01834,10001.04594,10000.98442,10001.00734,10000.93479,10001.03508,10000.99567,10000.98808
15,wage1,150.9637486,151.027447,150.9769805,151.0066911,151.0566297,1000.99506,1000.97687,1000.995223,1000.953434,1000.930865
15,wage2,300.9637486,301.027447,300.9769805,301.0066911,301.0566297,0.995059876,0.976870262,0.995223019,0.953434146,0.930865468
15,wage3,700.9637486,701.027447,700.9769805,701.0066911,701.0566297,0.995059876,0.976870262,0.995223019,0.953434146,0.930865468
15,wage4,1000.963749,1001.027447,1000.97698,1001.006691,1001.05663,0.995059876,0.976870262,0.995223019,0.953434146,0.930865468
15,wage5,1500.963749,1501.027447,1500.97698,1501.006691,1501.05663,0.995059876,0.976870262,0.995223019,0.953434146,0.930865468
15,wage6,2000.963749,2001.027447,2000.97698,2001.006691,2001.05663,0.995059876,0.976870262,0.995223019,0.953434146,0.930865468
15,wage7,5000.963749,5001.027447,5000.97698,5001.006691,5001.05663,0.995059876,0.976870262,0.995223019,0.953434146,0.930865468
15,wage8,10000.96375,10001.02745,10000.97698,10001.00669,10001.05663,10000.99506,10000.97687,10000.99522,10000.95343,10000.93087
16,wage1,151.0459216,150.9929361,150.9118518,151.0378479,150.9203087,151.0060448,151.0505191,1000.955219,1000.959826,1000.989094
16,wage2,301.0459216,300.9929361,300.9118518,301.0378479,300.9203087,301.0060448,301.0505191,0.955219213,0.959825911,0.989094026
16,wage3,701.0459216,700.9929361,700.9118518,701.0378479,700.9203087,701.0060448,701.0505191,0.955219213,0.959825911,0.989094026
16,wage4,1001.045922,1000.992936,1000.911852,1001.037848,1000.920309,1001.006045,1001.050519,0.955219213,0.959825911,0.989094026
